22.132,92.771,0.014527255,4.6,7,3000000
40.498,122.994,0.029913689,5.1,,
25.607,101.063,0.082955049,5.9,,
35.288,58.218,0.039157038,5.3,,
-26.288,30.888,0.012455648,4.5,,
22.338,143.73,0.488173152,7.6,,
34.22,25.69,0.050747841,5.5,,
-1.105,123.573,0.488173152,7.6,,
38.164,38.777,0.006491809,4.1,,
24.223,121.058,0.04463084,5.4,,
-4.721,102.087,0.6401303,7.9,,
40.693,32.992,0.093312,6,,
26.856,97.238,0.131299355,6.3,,
-4.612,101.905,0.20202372,6.7,,
23.843,121.225,0.14660155,6.4,,
63.966,-20.487,0.163407596,6.5,,
-13.802,97.453,0.6401303,7.9,,
63.98,-20.758,0.163407596,6.5,,
34.221,139.131,0.104758095,6.1,,
11.884,-85.988,0.04463084,5.4,,
-6.675,106.845,0.04463084,5.4,,
34.319,139.26,0.104758095,6.1,,
20.253,122.043,0.14660155,6.4,,
33.901,139.376,0.163407596,6.5,,
48.786,142.246,0.224099627,6.8,,
25.826,102.194,0.007684644,4.2,,
38.379,-122.413,0.026041667,5,,
-7.977,30.709,0.163407596,6.5,,
35.456,133.134,0.20202372,6.7,,
37.542,69.582,0.029913689,5.1,,
7.042,-77.829,0.163407596,6.5,,
-3.98,152.169,0.699050667,8,,
-5.233,153.102,0.585518962,7.8,,
-5.496,151.781,0.585518962,7.8,,
40.245,49.946,0.224099627,6.8,,
39.566,54.799,0.274514333,7,,
38.457,31.351,0.093312,6,,
6.898,126.579,0.444946289,7.5,,
13.049,-88.66,0.534950776,7.7,,
23.419,70.232,0.534950776,7.7,,
13.671,-88.938,0.18183869,6.6,,
29.513,101.129,0.057569828,5.6,,
47.149,-122.727,0.224099627,6.8,,
34.083,132.526,0.224099627,6.8,,
13.605,-88.795,0.06516325,5.7,,
27.689,101.003,0.050747841,5.5,,
35.169,69.389,0.026041667,5,,
-16.265,-73.641,0.983634489,8.4,,
37.238,36.206,0.050747841,5.5,,
-16.086,-73.987,0.18183869,6.6,,
-17.543,-72.077,0.488173152,7.6,,
24.455,102.66,0.00906062,4.3,,
39.059,24.244,0.163407596,6.5,,
-14.258,-72.683,0.073599472,5.8,,
34.059,-118.387,0.007684644,4.2,,
12.686,144.98,0.274514333,7,,
-4.102,123.907,0.444946289,7.5,,
26.316,100.648,0.057569828,5.6,,
35.946,90.541,0.585518962,7.8,,
23.954,122.734,0.224099627,6.8,,
23.632,90.376,0.012455648,4.5,,
-17.6,167.856,0.334353767,7.2,,
38.673,69.902,0.039157038,5.3,,
-3.212,142.427,0.20202372,6.7,,
-19.384,-69.231,0.057569828,5.6,,
-1.684,29.077,0.016887437,4.7,,
18.194,-95.908,0.082955049,5.9,,
38.573,31.271,0.163407596,6.5,,
38.773,69.924,0.022607436,4.9,,
28.093,51.755,0.04463084,5.4,,
32.319,-115.322,0.050747841,5.5,,
36.502,70.482,0.405042676,7.4,,
6.033,124.249,0.444946289,7.5,,
